Volkovskyi V.,Troian A.,0,3,"['7', '7', '7']","['11', '11', '11']",11.11. 23:45,AFZL8ARI
Teteruk M.,Dombrovskyi A.,1,3,"['11', '7', '6', '9']","['7', '11', '11', '11']",11.11. 23:45,EkqKCbvS
Pereguda O.,Yakymchuk Y.,3,0,"['11', '11', '11']","['4', '9', '9']",11.11. 23:50,rs3FHVJu
Peretiatko A.,Yushko R.,3,0,"['11', '11', '11']","['3', '8', '5']",11.11. 23:55,AZ9OLyHr
Kalachevskyi D.,Omelchuk I.,3,1,"['11', '10', '11', '11']","['9', '12', '8', '9']",12.11. 00:05,fqcUIfkQ
Leonenko O.,Dynaburg L.,3,2,"['11', '5', '11', '13', '11']","['5', '11', '7', '15', '9']",12.11. 00:10,l6YP7UtP
Zhyrnov O.,Hrymovskyi O.,3,1,"['12', '2', '11', '11']","['10', '11', '4', '2']",12.11. 00:15,WUVo8Inq
Holomoz A.,Melnykov V.,3,0,"['11', '11', '12']","['8', '6', '10']",12.11. 00:20,MX1JGkZo
Povalyaev V.,Bonishchuk T.,2,3,"['11', '9', '13', '8', '8']","['9', '11', '11', '11', '11']",12.11. 00:25,hbaTKeWl
Rybka A.,Filenko O.,-,-,[],[],12.11. 00:30WO,zwucEEcs
Reva Y.,Volkovskyi V.,3,2,"['9', '7', '11', '11', '11']","['11', '11', '5', '8', '7']",12.11. 00:50,nsAI8hsP
Vlasenko V.,Teteruk M.,3,1,"['11', '14', '4', '11']","['9', '12', '11', '9']",12.11. 00:45,ALUk7x2k
Lymarenko O.,Burdelnyi S.,2,3,"['8', '11', '6', '11', '10']","['11', '9', '11', '8', '12']",12.11. 00:50,4diOF9lh
Polusmiak V.,Ivanov E.,3,0,"['11', '11', '11']","['9', '6', '6']",12.11. 01:00,613XJFoe
Leonenko O.,Zaporozhets D.,2,3,"['7', '9', '11', '11', '8']","['11', '11', '5', '6', '11']",12.11. 01:20,O21p4Ckt
Zhyrnov O.,Nadporozhskyi O.,2,3,"['9', '11', '11', '7', '8']","['11', '7', '8', '11', '11']",12.11. 01:20,SdPf6dHe
Pereguda O.,Holomoz A.,3,1,"['13', '11', '8', '11']","['11', '8', '11', '7']",12.11. 01:25,GWfSET3b
Peretiatko A.,Povalyaev V.,1,3,"['11', '9', '8', '9']","['9', '11', '11', '11']",12.11. 01:25,0O2yJZ01
Troian A.,Dynaburg L.,3,2,"['7', '11', '4', '11', '11']","['11', '5', '11', '2', '6']",12.11. 02:00,IP0l3W4n
Dombrovskyi A.,Hrymovskyi O.,1,3,"['9', '11', '8', '10']","['11', '4', '11', '12']",12.11. 01:45,hIoxhRpA
Lymarenko O.,Yakymchuk Y.,3,0,"['11', '11', '11']","['6', '3', '7']",12.11. 01:50,AgfWDmJ4
Polusmiak V.,Yushko R.,3,1,"['8', '11', '11', '11']","['11', '5', '5', '6']",12.11. 01:55,vF1uIgG7
Reva Y.,Leonenko O.,1,3,"['6', '11', '6', '5']","['11', '7', '11', '11']",12.11. 02:35,dGah2jKh
Vlasenko V.,Zhyrnov O.,0,3,"['9', '9', '10']","['11', '11', '12']",12.11. 02:15,6mOb5GW1
Melnykov V.,Burdelnyi S.,3,0,"['11', '13', '15']","['5', '11', '13']",12.11. 02:20,lpgzD7YA
Bonishchuk T.,Ivanov E.,3,0,"['11', '11', '11']","['8', '8', '7']",12.11. 02:25,v77Gtwg8
Volkovskyi V.,Dynaburg L.,0,3,"['9', '8', '7']","['11', '11', '11']",12.11. 02:55,OxWl1AZb
Teteruk M.,Hrymovskyi O.,-,-,[],[],12.11. 03:15WO,KjCtUa92
Pereguda O.,Lymarenko O.,2,3,"['11', '7', '5', '11', '9']","['8', '11', '11', '7', '11']",12.11. 02:50,6LmuCRmH
Peretiatko A.,Polusmiak V.,3,0,"['11', '11', '11']","['5', '6', '6']",12.11. 02:55,Ic6Kuc8E
Zaporozhets D.,Troian A.,3,0,"['11', '11', '16']","['9', '6', '14']",12.11. 03:15,2TUh0Ul5
Nadporozhskyi O.,Dombrovskyi A.,2,3,"['11', '11', '8', '11', '7']","['4', '13', '11', '6', '11']",12.11. 03:15,IyVqTJO8
Holomoz A.,Burdelnyi S.,0,3,"['6', '8', '7']","['11', '11', '11']",12.11. 03:30,roB8faIq
Povalyaev V.,Ivanov E.,3,2,"['11', '7', '8', '11', '11']","['8', '11', '11', '9', '1']",12.11. 03:25,CK5OvHNK
Merzlikin V.,Lazuryk D.,3,1,"['11', '11', '11', '12']","['5', '6', '13', '10']",12.11. 03:30,pGQGpqwp
Oranskyi I.,Kuleshov G.,1,3,"['7', '6', '11', '6']","['11', '11', '7', '11']",12.11. 03:35,t2vkoGTf
Bilobrov V.,Ishchuk V.,3,2,"['4', '8', '12', '13', '11']","['11', '11', '10', '11', '6']",12.11. 03:50,ILUa76pc
Kondratenko V.,Riadynskyi Y.,0,3,"['5', '8', '8']","['11', '11', '11']",12.11. 03:45,Knjtmxar
