name,url,scraped
Cheklin M.,/player/cheklin-mikhail/KMYtxVpb,True
Shirshov A.,/player/shirshov-aleksandr/bufGv0Ae,True
Karpesh R.,/player/karpesh-roman/McmmbsYk,True
Innazarov A.,/player/innazarov-alexey/OdWERAKU,True
Adushinov Vladimirovich M.,/player/adushinov-vladimirovich-maksim/Ua885PuG,True
Evglevskiy G.,/player/evglevskiy-georgiy/0ARIi0aN,True
Kirpitnev I.,/player/kirpitnev-ivan/pr3knvNp,True
Merzlikin D.,/player/merzlikin-dmitry/z7EAKz4e,True
Abramov K.,/player/abramov-kirill/IV3FJfJ1,True
Buryanin I.,/player/buryanin-ivan/CxNvkecc,True
Ovchinnikov E.,/player/ovchinnikov-egor/bRCNaMG4,True
Lyfenko N.,/player/lyfenko-nikita/rD3Ph5hd,True
Shishko Y.,/player/shishko-yevgeny/nZJvB2Ym,True
Voronov D.,/player/voronov-dmitry/YmmMUoYK,True
Lobanov A.,/player/lobanov-aleksey/hYgMsxl5,True
Kovalev I.,/player/kovalev-igor/0thSLpQd,True
Bilyuga S.,/player/bilyuga-stanislav/nBHPYZI2,True
Masokin E.,/player/masokin-evgeniy/fHvbVhL5,True
Kolesnikov D.,/player/kolesnikov-dmitriy/zi4DN8dN,True
Afanasev I.,/player/afanasev-ivan/fHUwBWQe,True
Korogodsky I.,/player/korogodsky-ilya/xtU2UCzC,True
Marshalov V.,/player/marshalov-vladimir/tEzfWY5a,True
Nikulin S.,/player/nikulin-sergey/4W3CAADK,True
Gribkov A.,/player/gribkov-aleksandr/2FcfBAWJ,True
Vakar S.,/player/vakar-sergey/O2koZvwj,True
Kirilenko A.,/player/kirilenko-andrey/ULBaPbUI,True
Lulikyan A.,/player/lulikyan-aik/U9aLgowj,True
Troyanov Y.,/player/troyanov-yaroslav/0UiMR4od,True
Rutko D.,/player/rutko-dmitriy/EgHakT90,True
Girevenkov A.,/player/girevenkov-alik/SzlqaNIq,True
Yudin A.,/player/yudin-anton/pEJ4gs18,True
Shatilov T.,/player/shatilov-timofey/8j7C4qeM,True
Agudalin D.,/player/agudalin-dmitry/YcrO9PMB,True
Sirotkin A.,/player/sirotkin-anton/niyjXEjg,True
Kudryavtsev A.,/player/kudryavtsev-alexey/SvQxfbkr,True
Chumak A.,/player/chumak-andrey/W4fpQcqQ,True
Potapkov A.,/player/potapkov-andrey/0KpGKy7m,True
Moshkov I.,/player/moshkov-ivan/pniSeT2L,True
Kulakov A.,/player/kulakov-anton/2olybbSi,True
Makarkin V.,/player/makarkin-vladimir/ELeuSh2e,True
Simonov S.,/player/simonov-sergei/6iGVc0oH,True
Sorin M.,/player/sorin-maksim/GILtM7nJ,True
Moklozyan S.,/player/moklozyan-sarkis/MkBlzezo,True
Tsvetkov V.,/player/tsvetkov-viacheslav/GlS5rJS4,True
Grishaev E.,/player/grishaev-evgeny/GdrZjQQM,True
