,lPlayer,rPlayer,id,mergeCol
3534,Menshikov A.,Novikov I.,MBvJkiEG,Menshikov A.MBvJkiEG
3535,Menshikov A.,Maksakov S.,CEdt5Bd6,Menshikov A.CEdt5Bd6
3536,Menshikov A.,Maksakov S.,SEnP2QUb,Menshikov A.SEnP2QUb
3537,Kutuzov O.,Menshikov A.,fmiVph9D,Kutuzov O.fmiVph9D
3538,Menshikov A.,Novikov I.,CzML1EiD,Menshikov A.CzML1EiD
3539,Kutuzov O.,Menshikov A.,0W0bDhvC,Kutuzov O.0W0bDhvC
3540,Kutuzov O.,Menshikov A.,pGQ5CP6O,Kutuzov O.pGQ5CP6O
3541,Maksakov S.,Menshikov A.,WUeNbY7L,Maksakov S.WUeNbY7L
3542,Novikov I.,Menshikov A.,OEeTxio2,Novikov I.OEeTxio2
3543,Menshikov A.,Kutuzov O.,A9QVX435,Menshikov A.A9QVX435
3544,Novikov I.,Menshikov A.,KOmkqDko,Novikov I.KOmkqDko
3545,Menshikov A.,Novikov I.,WQwQ0jiD,Menshikov A.WQwQ0jiD
3546,Menshikov A.,Maksakov S.,Y9tYCdp8,Menshikov A.Y9tYCdp8
3547,Kutuzov O.,Menshikov A.,2FyaTV4E,Kutuzov O.2FyaTV4E
3548,Kutuzov O.,Menshikov A.,2N9oXnFb,Kutuzov O.2N9oXnFb
3549,Menshikov A.,Novikov I.,dOF6rlF6,Menshikov A.dOF6rlF6
3550,Kutuzov O.,Menshikov A.,IXG2qUa0,Kutuzov O.IXG2qUa0
3551,Menshikov A.,Kutuzov O.,6HDtWX49,Menshikov A.6HDtWX49
3552,Novikov I.,Menshikov A.,vqsXp4UD,Novikov I.vqsXp4UD
3553,Menshikov A.,Kutuzov O.,rs96B3we,Menshikov A.rs96B3we
3554,Menshikov A.,Novikov I.,tdNPmhkO,Menshikov A.tdNPmhkO
3555,Menshikov A.,Novikov I.,UeAgc3vN,Menshikov A.UeAgc3vN
3556,Kutuzov O.,Menshikov A.,AodQoytc,Kutuzov O.AodQoytc
3557,Kutuzov O.,Menshikov A.,rRQuPkcA,Kutuzov O.rRQuPkcA
3558,Novikov I.,Menshikov A.,KzMTnmoA,Novikov I.KzMTnmoA
3559,Menshikov A.,Kutuzov O.,QyTKl9Gc,Menshikov A.QyTKl9Gc
3560,Novikov I.,Menshikov A.,QgzyanQ5,Novikov I.QgzyanQ5
3561,Novikov I.,Menshikov A.,nsClLEh7,Novikov I.nsClLEh7
3562,Menshikov A.,Kutuzov O.,2Vc29Hge,Menshikov A.2Vc29Hge
3563,Menshikov A.,Novikov I.,ruWenQV1,Menshikov A.ruWenQV1
3564,Kutuzov O.,Menshikov A.,KKHrTqEQ,Kutuzov O.KKHrTqEQ
3565,Novikov I.,Menshikov A.,hrq5LvH5,Novikov I.hrq5LvH5
3566,Menshikov A.,Kutuzov O.,WANj68B1,Menshikov A.WANj68B1
3567,Kutuzov O.,Menshikov A.,Qm7N2v9O,Kutuzov O.Qm7N2v9O
3568,Menshikov A.,Novikov I.,ImNw9fE0,Menshikov A.ImNw9fE0
3569,Menshikov A.,Kutuzov O.,WvFxFb5H,Menshikov A.WvFxFb5H
3570,Menshikov A.,Titov A.,C4m36hHi,Menshikov A.C4m36hHi
3571,Kutuzov O.,Menshikov A.,O6NXpQXG,Kutuzov O.O6NXpQXG
3572,Kutuzov O.,Menshikov A.,8ns0lTEk,Kutuzov O.8ns0lTEk
3573,Menshikov A.,Kutuzov O.,dAAUAbHL,Menshikov A.dAAUAbHL
3574,Novikov I.,Menshikov A.,xW4tILNe,Novikov I.xW4tILNe
3575,Kutuzov O.,Menshikov A.,Iqm3wNuL,Kutuzov O.Iqm3wNuL
3576,Menshikov A.,Novikov I.,nLduQtQb,Menshikov A.nLduQtQb
3577,Kutuzov O.,Menshikov A.,6TPkJYCE,Kutuzov O.6TPkJYCE
3578,Novikov I.,Menshikov A.,fN7gwIj6,Novikov I.fN7gwIj6
3579,Novikov I.,Menshikov A.,2ghsDJ7U,Novikov I.2ghsDJ7U
3580,Menshikov A.,Kutuzov O.,QTYz6pfm,Menshikov A.QTYz6pfm
3581,Menshikov A.,Kutuzov O.,j554rLrI,Menshikov A.j554rLrI
3582,Menshikov A.,Novikov I.,dAO6OHyt,Menshikov A.dAO6OHyt
3583,Kutuzov O.,Menshikov A.,rgmjK2pf,Kutuzov O.rgmjK2pf
3584,Novikov I.,Menshikov A.,4YEfZ6iT,Novikov I.4YEfZ6iT
3585,Novikov I.,Menshikov A.,WMuJ9IQ0,Novikov I.WMuJ9IQ0
3586,Menshikov A.,Titov A.,WK63fnLd,Menshikov A.WK63fnLd
3587,Menshikov A.,Novikov I.,YBNUbjlF,Menshikov A.YBNUbjlF
3588,Novikov I.,Menshikov A.,jTuOTmR7,Novikov I.jTuOTmR7
3589,Menshikov A.,Kutuzov O.,GAmBWksk,Menshikov A.GAmBWksk
3590,Menshikov A.,Kutuzov O.,EFhhTQTQ,Menshikov A.EFhhTQTQ
